Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
MEGGENDORFERSPRANGER Andreas,7,49er,12,G,28,,271.0,240.0,Semaine Olympique Francaise De Voile 2022
SALSKOV-IVERSENNIELSEN Markus,7,49er,20,G,29,,273.0,244.0,Semaine Olympique Francaise De Voile 2022
GUILFOYLE Seafra DURCAN Johnny,7,49er,13,G,30,,292.0,263.0,Semaine Olympique Francaise De Voile 2022
STINGELE Maximilian SCHEEL Linov,7,49er,-26,G,31,,175.0,149.0,Semaine Olympique Francaise De Voile 2022
BACON SamGAUTREY Henry,7,49er,29,G,32,,184.0,152.0,Semaine Olympique Francaise De Voile 2022
SAKAI Akira AYLSWORTH Russel,7,49er,25,G,33,,188.0,156.0,Semaine Olympique Francaise De Voile 2022
RICHNER Joshua SCHARER Nilo,7,49er,-27,G,34,,183.0,156.0,Semaine Olympique Francaise De Voile 2022
GLOGOWSKI AdamKRUSIEC Maciej,7,49er,11,G,35,,189.0,157.0,Semaine Olympique Francaise De Voile 2022
TORRES Albert ELIAS Aretz,7,49er,19,G,36,,189.0,157.0,Semaine Olympique Francaise De Voile 2022
PETERS James HUGUES Alexander,7,49er,6,G,37,,189.0,162.0,Semaine Olympique Francaise De Voile 2022
NYBORG Daniel LEHM SLETTEN,7,49er,17,G,38,,190.0,165.0,Semaine Olympique Francaise De Voile 2022
HOLMAN Arran TAYLOR James,7,49er,5,G,39,,199.0,169.0,Semaine Olympique Francaise De Voile 2022
BURTON TomHOFFMAN Simon,7,49er,20,G,40,,203.0,171.0,Semaine Olympique Francaise De Voile 2022
LYNGBEK Phillip FUGLBJERG Mads,7,49er,15,G,41,,208.0,176.0,Semaine Olympique Francaise De Voile 2022
BERTHET Mathias NILSEN Jeppe,7,49er,15,G,42,,207.0,178.0,Semaine Olympique Francaise De Voile 2022
KORHONEN VilleBREMER Edvard,7,49er,18,G,43,,215.0,186.0,Semaine Olympique Francaise De Voile 2022
BUTOWSKI TytusMACHOWSKI Lukasz,7,49er,14,G,44,,227.0,195.0,Semaine Olympique Francaise De Voile 2022
KELAPANDATHAKKAR Varun,7,49er,12,G,45,,232.0,200.0,Semaine Olympique Francaise De Voile 2022
PIETZCKER Paul VON OPPEN Linus,7,49er,18,G,46,,235.0,210.0,Semaine Olympique Francaise De Voile 2022
DE JONGHE Arthur HEUNINCK Jan,7,49er,24,G,47,,244.0,212.0,Semaine Olympique Francaise De Voile 2022
